mass,log_mass,year,reclat,reclong,fall,recclass
48.0,3.871201010907891,2000,19.28833,54.695,Found,H4
603.0,6.401917196727186,1907,-33.0,26.4,Found,H5
2.7,0.9932517730102834,1994,-84.0,168.0,Found,H6
77.9,4.355425952876702,1983,-76.69083,159.37139,Found,H5
524.0,6.261491684321042,2010,0.0,0.0,Found,Lodranite
169.2,5.1310814471721224,1971,-30.18333,126.36667,Found,C5/6-ung
58.46,4.0683427596831,1988,-72.0,26.0,Found,H4
149.0,5.003946305945459,2008,20.19867,56.80917,Found,H4
4.19,1.4327007339340465,1979,-71.5,35.66667,Found,H5
9000.0,9.104979856318357,1931,-25.66667,117.0,Found,Iron
155.0,5.043425116919247,2012,0.0,0.0,Found,L6
607.4,6.409187552611648,1990,-84.58632,162.61005,Found,L5
2660.1,7.886118995054071,2006,0.0,0.0,Found,EH3
2.22,0.7975071958841882,1979,-71.5,35.66667,Found,LL6
9.7,2.272125885509337,2001,-79.68333,159.75,Found,H6
0.56,-0.579818495252942,2003,-72.9925,75.206389,Found,H4
4.86,1.5810384379124025,1979,-71.5,35.66667,Found,H4
61.7,4.122283930911342,2012,0.0,0.0,Found,LL~5
107.56,4.678048831400664,2003,-72.77889,75.31361,Found,L6
28600.0,10.261161996807944,1991,31.0,11.66667,Found,L6
2.8,1.0296194171811581,1988,-84.27683,161.40602,Found,L6
4.7,1.547562508716013,1999,-84.0,168.0,Found,LL5
44.7,3.7999735016195233,1992,-76.03313,156.03233,Found,CR2
3.4,1.2237754316221157,1986,-71.5,35.66667,Found,H4
3.94,1.3711807233098425,1998,0.0,0.0,Found,H5
24.19,3.185939324621936,2000,-79.68333,155.75,Found,L5
76.95,4.343155860284888,1979,-71.5,35.66667,Found,H4/5
180.1,5.19351225218191,2002,-86.36667,-70.0,Found,LL5
37.0,3.6109179126442243,2006,0.0,0.0,Found,H4/5
75.73,4.327174383125731,1998,0.0,0.0,Found,L6
2.2,0.7884573603642703,1999,-84.0,168.0,Found,LL5
6.74,1.9080599249242156,2003,-72.95156,160.51194,Found,H5
4.6,1.5260563034950492,1981,-76.69806,159.25945,Found,H5
2.3,0.8329091229351039,1997,-84.0,168.0,Found,H6
69.6,4.242764567340374,2011,0.0,0.0,Found,CV3
1.7,0.5306282510621704,1999,-84.0,168.0,Found,CK4
1412.0,7.252762418053187,1985,-76.99984,156.95922,Found,L6
336.0,5.817111159963204,2006,-72.77472,75.32361,Found,L6
150000.0,11.918390573078392,1870,33.18333,-96.71667,Found,L4
309.0,5.733341276897746,1998,0.0,0.0,Found,LL6
18.2,2.9014215940827497,1991,-72.95551,160.44071,Found,H4
134.1,4.898585790287632,2001,-75.68139,155.45306,Found,L6
181.0,5.198497031265826,2001,18.71728,54.35902,Found,H5/6
353.16,5.866921212033382,2007,19.69272,56.37732,Found,L6
9.1,2.2082744135228043,1987,-76.27602,156.50089,Found,L6
3.93,1.3686394258811698,1979,-71.5,35.66667,Found,H4
12.17,2.498973906999436,1998,0.0,0.0,Found,LL6
12.95,2.5610957881455465,1998,0.0,0.0,Found,H6
67.2,4.207673247529104,1983,-76.18333,157.16667,Found,L5
7.61,2.0294631718735947,1982,-71.5,35.66667,Found,L6
52.21,3.955274047422461,1998,0.0,0.0,Found,H3
50.0,3.912023005428146,2001,18.66933,54.728,Found,H5
963.5,6.870572487854421,2006,0.0,0.0,Found,L4/5
19.4,2.9652730660692823,2001,-79.68333,159.75,Found,LL6
19.4,2.9652730660692823,1988,-84.24795,161.38673,Found,H5
3.2,1.1631508098056809,1997,-84.0,168.0,Found,LL5
0.6,-0.5108256237659907,2007,0.0,0.0,Found,CO3
432.2,6.068888444072786,1980,-76.69028,159.25444,Found,H4
27.0,3.295836866004329,1988,-84.27197,161.35985,Found,H6
296.0,5.69035945432406,1990,28.95,12.46667,Found,H3.9
406.0,6.0063531596017325,2002,19.3025,54.555,Found,Ureilite
80.3,4.385769620952716,2010,0.0,0.0,Found,H6
62.0,4.127134385045092,2001,18.345,54.19667,Found,H5
228.9,5.433285226958521,2009,0.0,0.0,Found,LL6
80.2,4.384523514872469,1974,-71.5,35.66667,Found,L6
86.9,4.464758032271346,1996,-76.18333,157.16667,Found,H6
6.8,1.916922612182061,1986,-84.27368,161.69162,Found,L6
63.8,4.155753190350744,1990,-76.27362,156.4211,Found,L6
8.2,2.1041341542702074,1986,-84.27396,161.68193,Found,H5
74830.0,11.222974153074404,1981,44.4,-98.53333,Found,"Iron, IAB-MG"
3.48,1.247032293786383,1998,0.0,0.0,Found,H4
442.2,6.091762268423346,1991,-85.63333,-68.7,Found,L6
581.0,6.364750756851911,2000,18.4254,56.82262,Found,H3-5
10.1,2.312535423847214,2009,0.0,0.0,Found,CO3
54.0,3.9889840465642745,1990,-84.59482,162.30026,Found,L5
23.0,3.1354942159291497,2008,0.0,0.0,Found,LL6
3.6,1.2809338454620642,2001,-72.99222,160.39972,Found,H3
138.0,4.927253685157205,1991,-30.55167,129.22133,Found,H6
10.4,2.341805806147327,2010,0.0,0.0,Found,L6
4.83,1.5748464676644813,1994,-71.54694,35.40194,Found,H/L4
6.37,1.851599469584072,1974,0.0,35.66667,Found,H6
16.2,2.785011242238338,1969,34.21667,-103.5,Found,H5
0.96,-0.040821994520255166,1979,-71.5,35.66667,Found,H4/5
3.28,1.1878434223960523,1982,-71.5,35.66667,Found,L6
229.26,5.434856730686864,1986,-71.5,35.66667,Found,H4
8500.0,9.047821442478408,1947,40.8,-99.2,Found,L6
83.24,4.421728001525434,1979,-71.5,35.66667,Found,H5
110.0,4.700480365792417,1999,20.68267,57.179,Found,L6
387.0,5.958424693029782,2011,19.04955,55.5607,Found,LL6
1.92,0.6523251860396901,2006,-72.78639,75.29333,Found,H4
3.4,1.2237754316221157,1986,-84.27015,161.41279,Found,L5
0.77,-0.2613647641344075,2006,-72.82528,75.35361,Found,H4
220.13,5.39421828092524,1988,-72.0,26.0,Found,H3.8
2102.0,7.650644551436897,1999,18.28167,54.11,Found,L6
22.0,3.091042453358316,1991,25.31222,-0.35583,Found,H5
159.0,5.0689042022202315,2000,-85.15468,-94.58963,Found,L4
5.7,1.7404661748405046,1991,-84.55914,-62.04472,Found,H5
200.0,5.298317366548036,2010,0.0,0.0,Found,Brachinite
44.6,3.7977338590260183,1997,-84.0,168.0,Found,LL5
183.7,5.21330399222108,2003,-72.94306,75.275,Found,L6
13.1,2.5726122302071057,1990,-76.27377,156.48818,Found,CK5
12.05,2.489064659936664,2001,19.06013,54.53182,Found,H6
26.6,3.2809112157876537,1898,49.65,29.63333,Found,L6
179.9,5.192401140956488,1991,-85.67801,-68.70831,Found,L6
17.6,2.8678989020441064,2000,-79.68333,159.75,Found,L5
4018.3,8.298614206599607,1995,-85.66667,175.0,Found,L3.5
230.0,5.438079308923196,2004,0.0,0.0,Found,LL4
392.0,5.971261839790462,1990,27.55,4.13333,Found,L6
1000.0,6.907755278982137,1979,-30.15,128.08333,Found,L6
246.0,5.5053315359323625,1999,26.96667,16.36667,Found,L6
1.05,0.04879016416943205,2003,-72.9925,75.20639,Found,H5
527.6,6.268338420843159,2009,0.0,0.0,Found,L6
6.14,1.814824742159051,1979,-71.5,35.66667,Found,LL
258.0,5.552959584921617,2010,34.00056,-115.72972,Found,L5
83.53,4.425205848767815,1979,-71.5,35.66667,Found,L4
1040.0,6.946975992135418,1954,19.5,55.5,Found,L6
179.0,5.187385805840755,1962,-39.06667,146.35,Found,LL6
77.92,4.3556826593342794,1979,-71.5,35.66667,Found,L5
9.32,2.2321626286975,1979,-71.5,35.66667,Found,L4
3.6,1.2809338454620642,1990,-76.28863,156.43292,Found,L3.5
12.7,2.5416019934645457,1990,-76.28334,156.47015,Found,L6
13.48,2.601207105484161,2006,21.33802,58.41153,Found,L6
22.75,3.1245651453969594,2003,-72.77889,75.31361,Found,L6
62.0,4.127134385045092,1987,-76.18333,157.16667,Found,H5
5.28,1.6639260977181702,2002,-84.0,168.0,Found,H5
1929.0,7.564757012905729,2009,19.42017,56.70155,Found,H5
632.7,6.449996376152838,1998,0.0,0.0,Found,H5
28.8,3.3603753871419,1985,-84.28677,161.3542,Found,L3.4
3.9,1.3609765531356006,2003,19.33015,54.77972,Found,Lunar (anorth)
53.0,3.970291913552122,1999,26.95,16.45,Found,H5
